Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GRDI
ID	SC %												
		Database Identifiers											
	Database Identifiers	SPECIMEN_ID	xs:token										alternative_sample_ID
	Database Identifiers	ISOLATE_ID	xs:token			required							isolate_ID
	Database Identifiers	SAMPLE_ID	xs:token			required							sample_collector_sample_ID
		Fields to put in sections											
	Fields to put in sections	SENTINEL_SITE	xs:token										
	Fields to put in sections	LFZ_ADDITIONAL_SAMPLE_ID	xs:token										
	Fields to put in sections	LFZ_ORIGIN_COUNTRY	xs:token										
	Fields to put in sections	SUBJECT_CODE	xs:token										
	Fields to put in sections	SUBJECT_DESCRIPTIONS	select										
	Fields to put in sections	SUBMITTINGORG_1	xs:token										collected_by
	Fields to put in sections	SUBMITTINGLAB_1	xs:token										laboratory_name
	Fields to put in sections	PROJECT_1	xs:token										
	Fields to put in sections	COUNTRY_1	xs:token										geo_loc_name (country)
	Fields to put in sections	PROVINCE_1	xs:token										geo_loc_name (state/province/region)
	Fields to put in sections	CENSUSDIVISION_1	xs:token										
	Fields to put in sections	REGION	xs:token										
	Fields to put in sections	YEAR	xs:token										
	Fields to put in sections	MONTH	xs:token										
	Fields to put in sections	QTR	xs:token										
	Fields to put in sections	DATECOLLECTED_1	xs:date										sample_collection_date
	Fields to put in sections	DATERECEIVED_1	xs:token										
	Fields to put in sections	DATESHIPPED_1	xs:token										
	Fields to put in sections	ESTABLISHMENT_1	xs:token										
	Fields to put in sections	SPECIES	select										host (common name):
	Fields to put in sections	STTYPE	select										
	Fields to put in sections	STYPE	select										
	Fields to put in sections	COMMODITY	select										
	Fields to put in sections	SPECIMENSOURCE_1	select										
	Fields to put in sections	SPECIMENSUBSOURCE_1	select										
	Fields to put in sections	SUBJECT_SUBTYPE	select										
	Fields to put in sections	FIELDSTAFF_1	xs:token										
	Fields to put in sections	IN_STORE_PROCESSING	xs:token										
	Fields to put in sections	MAYCONTAINFROZENMEAT_1	xs:token										
	Fields to put in sections	NOOFCASHREGISTERS_1	xs:token										
	Fields to put in sections	PRICEPERKG_1	xs:token										
	Fields to put in sections	STORETYPE_SAMPLINGSITE_1	xs:token										
	Fields to put in sections	TEMPERATUREMAX_1	xs:token										
	Fields to put in sections	TEMPERATUREMIN_1	xs:token										
	Fields to put in sections	TEMPERATUREARRIVAL_1	xs:token										
	Fields to put in sections	VETID	xs:token										
	Fields to put in sections	ROOMID	xs:token										
	Fields to put in sections	PENID	xs:token										
	Fields to put in sections	SAMPLING_TYPE	xs:token										
	Fields to put in sections	BARN_ID	xs:token										
	Fields to put in sections	DATE_PACKED	xs:token										
	Fields to put in sections	FINAL_ID_GENUS	xs:token										organism
	Fields to put in sections	FINAL_ID_SPECIES	xs:token										organism
	Fields to put in sections	FINAL_ID_SUBSPECIES	xs:token										
	Fields to put in sections	FINAL_ID_SEROTYPE	xs:token										serovar
	Fields to put in sections	FINAL_ID_ANTIGEN	xs:token										
	Fields to put in sections	FINAL_ID_PHAGETYPE	xs:token										phagetype
	Fields to put in sections	SA_Serotype_Method	xs:token										serotyping_method
	Fields to put in sections	SEROTYPE_GR	xs:token										
	Fields to put in sections	MIC_AMC	xs:token										
	Fields to put in sections	MIC_AMK	xs:token										
	Fields to put in sections	MIC_AMP	xs:token										
	Fields to put in sections	MIC_AZM	xs:token										
	Fields to put in sections	MIC_CEP	xs:token										
	Fields to put in sections	MIC_CHL	xs:token										
	Fields to put in sections	MIC_CIP	xs:token										
	Fields to put in sections	MIC_CRO	xs:token										
